City,LAT,LON,Area,Type,Name,Artists,Address,City2,State,Zip,Year,Participant,desc1,desc2,url,partner,funder,LAT,LON
Shelbyville,38.23696465000,-85.23774751570,Visual Art Education,CFAC,CFAC @ Shelby County West Middle School,Jackie Connelly,100 Warriors Way,Shelbyville,Kentucky,40365,2015,22,placeholder 1,placeholder 1,placeholder 2,,,38.23696465000,-85.23774751570
Shelbyville,38.23696465000,-85.23774751570,Visual Art Education,CFAC,CFAC @ Shelby County West Middle School,Jackie Connelly,100 Warriors Way,Shelbyville,Kentucky,40365,2016,22,placeholder 2,placeholder 2,placeholder 3,,,38.23696465000,-85.23774751570
Louisville,38.22197055000,-85.75761538280,Visual Art Education,CFAC,CFAC @ DuPont Manual High school,Liesl Long,120 W. Lee St.,Louisville,Kentucky,40208,2015,30,placeholder 3,placeholder 3,placeholder 4,,,38.22197055000,-85.75761538280
Louisville,38.22197055000,-85.75761538280,Visual Art Education,CFAC,CFAC @ DuPont Manual High school,Liesl Long,120 W. Lee St.,Louisville,Kentucky,40208,2016,30,placeholder 4,placeholder 4,placeholder 5,,,38.22197055000,-85.75761538280
Louisville,38.23809515000,-85.52408748650,Visual Art Education,CFAC,CFAC @ Hite Elementary School (Thursday),Ann Sturdevant,12408 Old Shelbyville Rd,Louisville,Kentucky,40243,2015,29,placeholder 5,placeholder 5,placeholder 6,,,38.23809515000,-85.52408748650
Louisville,38.23809515000,-85.52408748650,Visual Art Education,CFAC,CFAC @ Hite Elementary School (Wednesday),Ann Sturdevant,12408 Old Shelbyville Rd,Louisville,Kentucky,40243,2015,31,placeholder 6,placeholder 6,placeholder 7,,,38.23809515000,-85.52408748650
Louisville,38.23809515000,-85.52408748650,Visual Art Education,CFAC,CFAC @ Hite Elementary School (Thursday),Ann Sturdevant,12408 Old Shelbyville Rd,Louisville,Kentucky,40243,2016,29,placeholder 7,placeholder 7,placeholder 8,,,38.23809515000,-85.52408748650
Louisville,38.23809515000,-85.52408748650,Visual Art Education,CFAC,CFAC @ Hite Elementary School (Wednesday),Ann Sturdevant,12408 Old Shelbyville Rd,Louisville,Kentucky,40243,2016,31,placeholder 8,placeholder 8,placeholder 9,,,38.23809515000,-85.52408748650
Goshen,38.40104700000,-85.58467300000,Visual Art Education,CFAC,CFAC @ Creasy Mahan Nature Preserve,Jean Smith,12501 Harmony Landing Rd,Goshen,Kentucky,40026,2015,26,placeholder 9,placeholder 9,placeholder 10,,,38.40104700000,-85.58467300000
Goshen,38.40104700000,-85.58467300000,Visual Art Education,CFAC,CFAC @ Creasy Mahan Nature Preserve,Jean Smith,12501 Harmony Landing Rd,Goshen,Kentucky,40026,2016,26,placeholder 10,placeholder 10,placeholder 11,,,38.40104700000,-85.58467300000
New Albany,38.31475552920,-85.79997866820,Visual Art Education,CFAC,CFAC @ Slate Run Elementary School,Melody Woolsey,1452 Slate Run Road,New Albany,Indiana,47150,2015,7,placeholder 11,placeholder 11,placeholder 12,,,38.31475552920,-85.79997866820
New Albany,38.31475552920,-85.79997866820,Visual Art Education,CFAC,CFAC @ Slate Run Elementary School,Melody Woolsey,1452 Slate Run Road,New Albany,Indiana,47150,2016,7,placeholder 12,placeholder 12,placeholder 13,,,38.31475552920,-85.79997866820
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,CFAC @ Clifton Center (Tuesday),Rick Ward,2117 Payne St.,Louisville,Kentucky,40206,2015,25,placeholder 13,placeholder 13,placeholder 14,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,CFAC @ Clifton Center (Saturday),Janet Britt,2117 Payne St.,Louisville,Kentucky,40206,2015,30,placeholder 14,placeholder 14,placeholder 15,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,CFAC @ Clifton Center (Wednesday),Janet Britt,2117 Payne St.,Louisville,Kentucky,40206,2015,30,placeholder 15,placeholder 15,placeholder 16,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,CFAC @ Clifton Center (Saturday),Liesl Long,2117 Payne St.,Louisville,Kentucky,40206,2015,30,placeholder 16,placeholder 16,placeholder 17,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,Introduction to Digital Photography LVA @ Clifton Center,Clair Krueger,2117 Payne St.,Louisville,Kentucky,40206,2015,12,placeholder 17,placeholder 17,placeholder 18,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Academy,Drawing - Painting 1 LVA @ Clifton Center,Dennis Whitehouse,2117 Payne St.,Louisville,Kentucky,40206,2015,19,placeholder 18,placeholder 18,placeholder 19,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Academy,Sculpture 1 LVA @ Clifton Center,Collin Lloyd,2117 Payne St.,Louisville,Kentucky,40206,2015,3,placeholder 19,placeholder 19,placeholder 20,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Academy,Video 1 LVA @ Cllifton Center,,2117 Payne St.,Louisville,Kentucky,40206,2015,3,placeholder 20,placeholder 20,placeholder 21,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Academy,Photography 1 LVA @ Clifton Center,Sarah Davis,2117 Payne St.,Louisville,Kentucky,40206,2015,4,placeholder 21,placeholder 21,placeholder 22,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Academy,Experimental 3D Art LVA @ Clifton Center,Collin Lloyd,2117 Payne St.,Louisville,Kentucky,40206,2015,3,placeholder 22,placeholder 22,placeholder 23,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Academy,Digital Illustration 1 LVA @ Clifton Center,Carrie Neumayer,2117 Payne St.,Louisville,Kentucky,40206,2015,8,placeholder 23,placeholder 23,placeholder 24,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Academy,Developing Concepts 1 LVA @ Clifton Center,Sunny Ra,2117 Payne St.,Louisville,Kentucky,40206,2015,6,placeholder 24,placeholder 24,placeholder 25,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Academy,Developing Concepts 2 LVA @ Clifton Center,Alexia Serpentini,2117 Payne St.,Louisville,Kentucky,40206,2015,4,placeholder 25,placeholder 25,placeholder 26,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,Summer Camps,Summer Camps with LVA,Janet Britt Annette Cable Sunny Ra Collin Lloyd Beth Givens Angela Ress,2117 Payne St.,Louisville,Kentucky,40206,2015,90,placeholder 26,placeholder 26,placeholder 27,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,CFAC @ Clifton Center (Tuesday),Rick Ward,2117 Payne St.,Louisville,Kentucky,40206,2016,25,placeholder 27,placeholder 27,placeholder 28,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,CFAC @ Clifton Center (Saturday),Janet Britt,2117 Payne St.,Louisville,Kentucky,40206,2016,30,placeholder 28,placeholder 28,placeholder 29,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,CFAC @ Clifton Center (Wednesday),Janet Britt,2117 Payne St.,Louisville,Kentucky,40206,2016,30,placeholder 29,placeholder 29,placeholder 30,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,CFAC @ Clifton Center (Saturday),Liesl Long,2117 Payne St.,Louisville,Kentucky,40206,2016,30,placeholder 30,placeholder 30,placeholder 31,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,CFAC,Introduction to Digital Photography LVA @ Clifton Center,Clair Krueger,2117 Payne St.,Louisville,Kentucky,40206,2016,12,placeholder 31,placeholder 31,placeholder 32,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Acadamy,Drawing - Painting 1 LVA @ Clifton Center,Dennis Whitehouse,2117 Payne St.,Louisville,Kentucky,40206,2016,19,placeholder 32,placeholder 32,placeholder 33,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Acadamy,Sculpture 1 LVA @ Clifton Center,Collin Lloyd,2117 Payne St.,Louisville,Kentucky,40206,2016,3,placeholder 33,placeholder 33,placeholder 34,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Acadamy,Video 1 LVA @ Cllifton Center,,2117 Payne St.,Louisville,Kentucky,40206,2016,3,placeholder 34,placeholder 34,placeholder 35,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Acadamy,Photography 1 LVA @ Clifton Center,Sarah Davis,2117 Payne St.,Louisville,Kentucky,40206,2016,4,placeholder 35,placeholder 35,placeholder 36,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Acadamy,Experimental 3D Art LVA @ Clifton Center,Collin Lloyd,2117 Payne St.,Louisville,Kentucky,40206,2016,3,placeholder 36,placeholder 36,placeholder 37,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Acadamy,Digital Illustration 1 LVA @ Clifton Center,Carrie Neumayer,2117 Payne St.,Louisville,Kentucky,40206,2016,8,placeholder 37,placeholder 37,placeholder 38,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Acadamy,Developing Concepts 1 LVA @ Clifton Center,Sunny Ra,2117 Payne St.,Louisville,Kentucky,40206,2016,6,placeholder 38,placeholder 38,placeholder 39,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,The Acadamy,Developing Concepts 2 LVA @ Clifton Center,Alexia Serpentini,2117 Payne St.,Louisville,Kentucky,40206,2016,4,placeholder 39,placeholder 39,placeholder 40,,,38.25281450000,-85.70698190000
Louisville,38.25281450000,-85.70698190000,Visual Art Education,Summer Camps,Summer Camps with LVA,Janet Britt Annette Cable Sunny Ra Collin Lloyd Beth Givens Angela Ress,2117 Payne St.,Louisville,Kentucky,40206,2016,90,placeholder 40,placeholder 40,placeholder 41,,,38.25281450000,-85.70698190000
Louisville,38.26062600000,-85.78662990000,Visual Art Education,CFAC,CFAC @ Western Middle School,Amanda Thompson,2201 West Main St.,Louisville,Kentucky,40212,2015,27,placeholder 41,placeholder 41,placeholder 42,,,38.26062600000,-85.78662990000
Louisville,38.26062600000,-85.78662990000,Visual Art Education,CFAC,CFAC @ Western Middle School,Amanda Thompson,2201 West Main St.,Louisville,Kentucky,40212,2016,27,placeholder 42,placeholder 42,placeholder 43,,,38.26062600000,-85.78662990000
Louisville,38.23014060000,-85.68594052550,Visual Art Education,CFAC,CFAC @ Douglass Boulevard Community Center,Annette Cable,2305 Douglass Boulevard,Louisville,Kentucky,40205,2015,29,placeholder 43,placeholder 43,placeholder 44,,,38.23014060000,-85.68594052550
Louisville,38.23014060000,-85.68594052550,Visual Art Education,CFAC,CFAC @ Douglass Boulevard Community Center,Annette Cable,2305 Douglass Boulevard,Louisville,Kentucky,40205,2016,29,placeholder 44,placeholder 44,placeholder 45,,,38.23014060000,-85.68594052550
Louisville,38.23545605000,-85.79550100750,Visual Art Education,CFAC,CFAC @ Johnson Traditional Middle School,Brittany Gofney,2509 Wilson Avenue,Louisville,Kentucky,40210,2015,19,placeholder 45,placeholder 45,placeholder 46,,,38.23545605000,-85.79550100750
Louisville,38.23545605000,-85.79550100750,Visual Art Education,CFAC,CFAC @ Johnson Traditional Middle School,Brittany Gofney,2509 Wilson Avenue,Louisville,Kentucky,40210,2016,19,placeholder 46,placeholder 46,placeholder 47,,,38.23545605000,-85.79550100750
Louisville,38.23749175000,-85.79683726600,Visual Art Education,CFAC,CFAC @ Pleasant View Missionary Baptist Church,Wilma Bethel,2600 Virginia Avenue,Louisville,Kentucky,40211,2015,8,placeholder 47,placeholder 47,placeholder 48,,,38.23749175000,-85.79683726600
Louisville,38.23749175000,-85.79683726600,Visual Art Education,CFAC,CFAC @ Pleasant View Missionary Baptist Church,Wilma Bethel,2600 Virginia Avenue,Louisville,Kentucky,40211,2016,8,placeholder 48,placeholder 48,placeholder 49,,,38.23749175000,-85.79683726600
Louisville,38.17221530000,-85.76978107310,Visual Art Education,CFAC,CFAC @ Rutherford Elementary School,Danielle Flener,301 West Southland Boulevard,Louisville,Kentucky,40214,2015,20,placeholder 49,placeholder 49,placeholder 50,,,38.17221530000,-85.76978107310
Louisville,38.17221530000,-85.76978107310,Visual Art Education,CFAC,CFAC @ Rutherford Elementary School,Danielle Flener,301 West Southland Boulevard,Louisville,Kentucky,40214,2016,20,placeholder 50,placeholder 50,placeholder 51,,,38.17221530000,-85.76978107310
Louisville,38.24016770000,-85.55549283270,Visual Art Education,CFAC,CFAC @ Crosby Middle School (Tuesday),Kevin Ashford,303 Gatehouse Lane,Louisville,Kentucky,40243,2015,25,placeholder 51,placeholder 51,placeholder 52,,,38.24016770000,-85.55549283270
Louisville,38.24016770000,-85.55549283270,Visual Art Education,CFAC,CFAC @ Crosby Middle School (Thursday),Wilma Bethel,303 Gatehouse Lane,Louisville,Kentucky,40243,2015,29,placeholder 52,placeholder 52,placeholder 53,,,38.24016770000,-85.55549283270
Louisville,38.24016770000,-85.55549283270,Visual Art Education,CFAC,CFAC @ Crosby Middle School (Tuesday),Kevin Ashford,303 Gatehouse Lane,Louisville,Kentucky,40243,2016,25,placeholder 53,placeholder 53,placeholder 54,,,38.24016770000,-85.55549283270
Louisville,38.24016770000,-85.55549283270,Visual Art Education,CFAC,CFAC @ Crosby Middle School (Thursday),Wilma Bethel,303 Gatehouse Lane,Louisville,Kentucky,40243,2016,29,placeholder 54,placeholder 54,placeholder 55,,,38.24016770000,-85.55549283270
Clarksville,38.29241337280,-85.76019486960,Visual Art Education,CFAC,CFAC @ St. Anthony of Padua School,Janice Roehm,320 N. Sherwood Avenue,Clarksville,Indiana,47129,2015,12,placeholder 55,placeholder 55,placeholder 56,,,38.29241337280,-85.76019486960
Clarksville,38.29241337280,-85.76019486960,Visual Art Education,CFAC,CFAC @ St. Anthony of Padua School,Janice Roehm,320 N. Sherwood Avenue,Clarksville,Indiana,47129,2016,12,placeholder 56,placeholder 56,placeholder 57,,,38.29241337280,-85.76019486960
Louisville,38.18433370000,-85.85774572530,Visual Art Education,CFAC,CFAC @ Farnsely Middle School,John Muench,3400 Lees Ln,Louisville,Kentucky,40216,2015,8,placeholder 57,placeholder 57,placeholder 58,,,38.18433370000,-85.85774572530
Louisville,38.18433370000,-85.85774572530,Visual Art Education,CFAC,CFAC @ Farnsely Middle School,John Muench,3400 Lees Ln,Louisville,Kentucky,40216,2016,8,placeholder 58,placeholder 58,placeholder 59,,,38.18433370000,-85.85774572530
Louisville,38.27444390000,-85.80326180000,Visual Art Education,CFAC,CFAC @ Portland Elementary School,Anita Fisher,3410 Northwestern Pkwy,Louisville,Kentucky,40212,2015,9,placeholder 59,placeholder 59,placeholder 60,,,38.27444390000,-85.80326180000
Louisville,38.27444390000,-85.80326180000,Visual Art Education,CFAC,CFAC @ Portland Elementary School,Anita Fisher,3410 Northwestern Pkwy,Louisville,Kentucky,40212,2016,9,placeholder 60,placeholder 60,placeholder 61,,,38.27444390000,-85.80326180000
Louisville,38.20797240000,-85.65593000000,Visual Art Education,CFAC,CFAC @ Goldsmith Elementary School,Laurel Lammers,3520 Goldsmith Lane,Louisville,Kentucky,40220,2015,24,placeholder 63,placeholder 61,placeholder 62,,,38.20797240000,-85.65593000000
Louisville,38.20797240000,-85.65593000000,Visual Art Education,CFAC,CFAC @ Goldsmith Elementary School,Laurel Lammers,3520 Goldsmith Lane,Louisville,Kentucky,40220,2016,24,placeholder 64,placeholder 62,placeholder 63,,,38.20797240000,-85.65593000000
Louisville,38.20955475000,-85.82213355940,Visual Art Education,CFAC,CFAC @ Cane Run Elementary,Alyson Thiel,3951 Cane Run Rd,Louisville,Kentucky,40216,2015,13,placeholder 65,placeholder 63,placeholder 64,,,38.20955475000,-85.82213355940
Louisville,38.20955475000,-85.82213355940,Visual Art Education,CFAC,CFAC @ Cane Run Elementary,Alyson Thiel,3951 Cane Run Rd,Louisville,Kentucky,40216,2016,13,placeholder 66,placeholder 64,placeholder 65,,,38.20955475000,-85.82213355940
Louisville,38.20091965000,-85.70191074220,Visual Art Education,CFAC,CFAC @ Allgeier Community Center,Wilma Bethel,4101 Cadillac Ct,Louisville,Kentucky,40213,2015,31,placeholder 67,placeholder 65,placeholder 66,,,38.20091965000,-85.70191074220
Louisville,38.20091965000,-85.70191074220,Visual Art Education,CFAC,CFAC @ Allgeier Community Center,Wilma Bethel,4101 Cadillac Ct,Louisville,Kentucky,40213,2016,31,placeholder 68,placeholder 66,placeholder 67,,,38.20091965000,-85.70191074220
New Albany,38.34806000000,-85.81621200000,Visual Art Education,The Academy,Studio Art LVA @ Indiana University Southeast,Dean Mistler,4201 Grant Line Rd,New Albany,Indiana,47150,2015,14,placeholder 69,placeholder 67,placeholder 68,,,38.34806000000,-85.81621200000
New Albany,38.34551046600,-85.81645649410,Visual Art Education,The Acadamy,Studio Art LVA @ Indiana University Southeast,Dean Mistler,4202 Grant Line Rd,New Albany,Indiana,47150,2016,14,placeholder 70,placeholder 68,placeholder 69,,,38.34551046600,-85.81645649410
New Albany,38.34549069910,-85.81645924120,Visual Art Education,CFAC,CFAC @ Indiana University Southeast,Elizabeth Hertle,4203 Grant Line Rd,New Albany,Indiana,47150,2015,30,placeholder 71,placeholder 69,placeholder 70,,,38.34549069910,-85.81645924120
New Albany,38.34547093210,-85.81646198830,Visual Art Education,CFAC,CFAC @ Indiana University Southeast,Elizabeth Hertle,4204 Grant Line Rd,New Albany,Indiana,47150,2016,30,placeholder 72,placeholder 70,placeholder 71,,,38.34547093210,-85.81646198830
